disposition	standard	vetted
 E		1
 NO	missing	1
 YES	in collection	1
"GIVEN TO NATIONAL MUSEUM & EXCHANGED JAN. '90 FOR	voucher elsewhere	1
"PRESENTED TO MR. RIDGWAY, CURATOR OF NATIONAL MUS	voucher elsewhere	1
"SENT TO MR. RIDGWAY, CURATOR OF NATIONAL MUSEUM, 	voucher elsewhere	1
"SENT TO MR. RODGWAY, CURATOR OF NATIONAL MUSEUM, 	voucher elsewhere	1
#149015-149215 SENT TO FIELD MUSEUM; SEE REMARKS U	voucher elsewhere	1
#26290 EXCHANGED J.T. NICHOLS FEB. 1, 1907; GIFT T	voucher elsewhere	1
#270045-270374 SENT TO M.C.Z. ON BEHALF OF MR. SID	voucher elsewhere	1
(DISCARDED 13-10-54 JF)	discarded	1
(EXCH. TO PHELPS - AUG. 1949)	voucher elsewhere	1
(EXCHANGE) HENRY K. COALE, JAN 2, 1920	voucher elsewhere	1
(GIFT TO HOPE COLLEGE, HOLLAND MICH., DE. D.E. GRE	voucher elsewhere	1
(GIFT TO HOPE COLLEGE, HOLLAND, MICH., DR. DE. GRE	voucher elsewhere	1
(POOR - DISCARDED), 5 JUN 1905	discarded	1
(POOR), DISCARDED: 5 JUN 1905	discarded	1
(RETURNED BY NJ AUDUBON 2002)	in collection	1
(RETURNED NJ AUDUBON 2002)	in collection	1
* GIFT TO SUFFOLK MUSEUM	voucher elsewhere	1
? - PRINCETON MUSEUM -1951	voucher elsewhere	1
[GIVEN TO DR. E. MAYR, MCZ, DEC 1953	voucher elsewhere	1
[ILLEG]M. CHAPMAN [ILLEG], 1925		1
[NOT IN COLLECTION 25 FEB '92]	missing	1
1965 - EXCHANGE - DR. CARLOS ALBERTO CAMPAS SEABRA	voucher elsewhere	1
1965 EXCH - DR CARLOS ALBERTO CAMPOS SEABRA	voucher elsewhere	1
1965 EXCH. - DR. CARLOS ALBERTO CAMPOS SEABRA	voucher elsewhere	1
1965 EXCH. DR. CARLOS ALBERTI - CAMPOS SEABIA	voucher elsewhere	1
1965 EXCHANGE - DR CARLOS ALBERTO CAMPOS SEABRA	voucher elsewhere	1
1965 EXCHANGE - DR. CARLOS ALBERT CAMPOS SEABRA	voucher elsewhere	1
1965 EXCHANGE - DR. CARLOS ALBERTO CAMPOS SEABRA	voucher elsewhere	1
1965, EXCHANGE - DR. CARLOS ALBERTO CAMPOS SEABRA	voucher elsewhere	1
67602 EXCHANGED RC MURPHY JULY 1907	voucher elsewhere	1
691		1
ABSENT	missing	1
ALEXANDER MUS., NETH	voucher elsewhere	1
ANCIENT DNA		1
APPARENTLY IT WAS THIS SPECIMEN SENT TO CLEVELAND.	voucher elsewhere	1
ATTACKED BY INSECTS, 1920		1
AUSTRALIAN MUS. 1953	voucher elsewhere	1
AUSTRALIAN MUSEUM 1953	voucher elsewhere	1
B.P. BIAHOP MUS.	voucher elsewhere	1
B.P. BISHOP	voucher elsewhere	1
B.P. BISHOP MUS.	voucher elsewhere	1
B.P. BISHOP MUSE.	voucher elsewhere	1
B.P. BISHOP MUSEUM	voucher elsewhere	1
BAHIA SKIN TO LSU, 4/67	voucher elsewhere	1
BAT CART EX.	voucher elsewhere	1
BEING PROCESSED		1
BELL JAR		1
BROKEN		1
BUFFALO MUS. OF SCI.	voucher elsewhere	1
BUFFALO MUSEUM OF SCI	voucher elsewhere	1
BUFFALO MUSEUM OF SCI.	voucher elsewhere	1
BUFFALO MUSEUM OF SCIENCE	voucher elsewhere	1
BUFFALO, MUSEUM OF SCI.	voucher elsewhere	1
BY EXCHANGE WITH M.C.Z.	voucher elsewhere	1
BYU	voucher elsewhere	1
C.Z. EUSTARGIO MENCHEZ EXCHANGE TO CORGAS MEM. LAB	voucher elsewhere	1
CIBNOR	voucher elsewhere	1
CLEARED AND STAINED		1
CLEARED AND STAINEDON LOAN		1
CLEARED AND STAINEDPARATYPE		1
COLLECTIONS	in collection	1
D		1
DAMAGED FOR C4 SAMPLE		1
DEACCESSIONED	discarded	1
DEP. BY L.I. HIST. SOC.	in collection	1
DEP. BY L.I. HISTORICAL SOC.	in collection	1
DESTROYED	destroyed	1
DESTROYED BY INSECTS	destroyed	1
DESTROYED BY INSECTS 50017?	destroyed	1
DESTROYED BY INSECTS 50026?	destroyed	1
DESTROYED BY INSECTS 50029?	destroyed	1
DESTROYED BY INSECTS 50031?	destroyed	1
DESTROYED BY INSECTS, 13 JUL 1928	destroyed	1
DESTROYED BY INSECTS, 1920	destroyed	1
DESTROYED BY INSECTS, 1920, JPC	destroyed	1
DESTROYED BY INSECTS, 1924	destroyed	1
DESTROYED BY INSECTS, 28 JUL 1930	destroyed	1
DESTROYED BY INSECTS, 7 NOV 1924	destroyed	1
DESTROYED BY INSECTS, AUG 192[ILLEG]	destroyed	1
DESTROYED BY INSECTS, DISCARDED	destroyed	1
DESTROYED BY INSECTS, DISCARDED 9 MAY 1917	destroyed	1
DESTROYED BY INSECTS, DISCARDED: 1920	destroyed	1
DESTROYED BY INSECTS, DISCARDED: 1921	destroyed	1
DESTROYED BY INSECTS, J.P.C.	destroyed	1
DESTROYED BY INSECTS, MAR 1919	destroyed	1
DESTROYED BY INSECTS; DISCARDED	destroyed	1
DESTROYED BY INSECTS; DISCARDED 9 MAY 1917	destroyed	1
DESTROYED BY MOTHS WHILE IN DEPT. OF TAX. WHERE IT	destroyed	1
DESTROYED BY PESTS	destroyed	1
DESTROYED BY RATS	destroyed	1
DESTROYED FOR ADNA	destroyed	1
DESTROYED FOR RADIOCARBON	destroyed	1
DESTROYED OR DISCARDED	destroyed	1
DESTROYED, NOV 1921	destroyed	1
DESTROYED: JUL 1920	destroyed	1
DESTROYED?	destroyed	1
DISCARD	discarded	1
DISCARD - DR. AMADON 7/17/63	discarded	1
DISCARD 24 SEP 1954, J.F.(TO: CARNEGIE MUSEUM)	discarded	1
DISCARD 27 APR 1953, D.A.	discarded	1
DISCARD 28-TX-54 J.F.	discarded	1
DISCARD, 28 OCT 1960	discarded	1
DISCARD, 6 OCT 1954, J.[ILLEG].	discarded	1
DISCARD. 27 APR 1953, D.A.	discarded	1
DISCARDED	discarded	1
DISCARDED - 7 DEC 1960 'GREASE-BURNED'	discarded	1
DISCARDED - DR. AMADON, 17 JUL 1963	discarded	1
DISCARDED - PER FIELD NOTES	discarded	1
DISCARDED 1 MAR 1948	discarded	1
DISCARDED 13-X-54 J.F.	discarded	1
DISCARDED 15 MAY 1975	discarded	1
DISCARDED 19-X-54 J.F.	discarded	1
DISCARDED 2/2/74	discarded	1
DISCARDED 21 SEP 1954 JF	discarded	1
DISCARDED 22 FEB 1962	discarded	1
DISCARDED 28-6-55	discarded	1
DISCARDED 29 JUN 195[ILLEG]	discarded	1
DISCARDED 4 FEB 1959, DR. VAURIE	discarded	1
DISCARDED 4/16/71 C.O.B.	discarded	1
DISCARDED 5/9/94 R.A.S.	discarded	1
DISCARDED 6 NOV 1957 D. AMADON	discarded	1
DISCARDED 6/24/64 D. AMADON	discarded	1
DISCARDED 6-X 54 J.F.	discarded	1
DISCARDED 6-X-54 JF	discarded	1
DISCARDED 7 APR 1941	discarded	1
DISCARDED 7/23/59	discarded	1
DISCARDED 9 OCT 1954 J.F.	discarded	1
DISCARDED 9-OCT-1954 JF	discarded	1
DISCARDED APR. 4, 1979	discarded	1
DISCARDED APRIL 4, 1979	discarded	1
DISCARDED AUG. 27, 1959	discarded	1
DISCARDED BY CHARLES OBRIEN, 24 JUL 1961	discarded	1
DISCARDED BY D. AMADON, 23 JUN 1969	discarded	1
DISCARDED BY D. AMADON, 29 MAR 1951	discarded	1
DISCARDED BY DR. AMADON 7/31/63; GIFT TO RUTGERS U	discarded	1
DISCARDED BY DR. AMADON, 11 JAN 1960	discarded	1
DISCARDED BY DR. AMADON, 11 MAR 1957	discarded	1
DISCARDED BY DR. AMADON, 29 AUG 1958	discarded	1
DISCARDED BY DR. AMADON, FEB 11, 1963	discarded	1
DISCARDED BY DR. AMADON, JUL 1961	discarded	1
DISCARDED BY DR. AMADON, MAY 1963	discarded	1
DISCARDED BY DR. AMADON, YULY 1961	discarded	1
DISCARDED BY DR. C. VAURIE, 24 SEP 1956	discarded	1
DISCARDED BY DR. C. VAURIE, SEPT 24, '56	discarded	1
DISCARDED BY DR. DEAN AMADON, 19 FEB 1957	discarded	1
DISCARDED BY DR. DEAN AMADUN, FEB 19, 1957	discarded	1
DISCARDED BY DR. MAYR, 1 NOV 1939	discarded	1
