identificationqualifier	standard	vetted
? ID	id in question	1
? ORD	order in question	1
? ORDER	order in question	1
? ORDER ? FAM	order, family in question	1
? ORDER ? FAMILY	order, family in question	1
? ORDER ?FAM	order, family in question	1
? ORDER, FAM	order, family in question	1
? ORDER; TENT. GEN&SP.	order in question	1
? ORDR	order in question	1
? ORDR ? FAM	order, family in question	1
? OTHER ID	id in question	1
? OTHERID	id in question	1
? SP	species in question	1
? SP.	species in question	1
? SP.; NOT AVAILABLE TO GPW	species in question	1
? SPECIES	species in question	1
? SUBFAM	subfamily in question	1
? SUBFAMILY	subfamily in question	1
? TAXON	id in question	1
?, ?GENUS	genus in question	1
?, ?GENUS, ?SP	genus, species in question	1
?, ?SP	species in question	1
?, ?SP, WORN	species in question	1
?, ?SP.	species in question	1
?, CF SP	species in question	1
?, WORN	species in question	1
?CL	class in question	1
?CLASS	class in question	1
?ELE	id in question	1
?ELE (DP4/), ?SP	species in question	1
?FAM	family in question	1
?FAM ?GEN	family, genus in question	1
?FAMILY	family in question	1
?FM	family in question	1
?FORMOSA?THOMPS.; (WEIL 2004)	id in question	1
?GE	genus in question	1
?GEN	genus in question	1
?GEN ?SP	genus, species in question	1
?GEN.	genus in question	1
?GEN; L > 4MM (WEIL 2004)	genus in question	1
?GENUS	genus in question	1
?GENUS, ?SP	genus, species in question	1
?GENUS, BIG	genus in question	1
?GN	genus in question	1
?GN ?SP	genus, species in question	1
?GN?SP	genus, species in question	1
?ORD?FM	order, family in question	1
?ORDER	order in question	1
?ORDER ?GEN	genus in question	1
?OTHER ID	id in question	1
?SP	species in question	1
?SP ?TROCHUUS	species in question	1
?SP, ?GENUS	genus, species in question	1
?SP, BIG	species in question	1
?SP, SMALL	species in question	1
?SP, WORN	species in question	1
?SP.	species in question	1
?SP.; NOT AVAILABLE TO GPW	species in question	1
?SP; BIG	species in question	1
?SP; M. SEMINOENSIS OR E. BROWNI	species in question	1
?SP; NOT AVAILABLE TO GPW	species in question	1
?SP; SMALL	species in question	1
?SP; VERY BIG	species in question	1
?SPECIES	species in question	1
?SUBFAM	subfamily in question	1
[N. GEN., N. SP.]	gen. nov.	1
`		1
{BILLSI N. SP.}	sp. nov.	1
{CHILALA N. SP.}	sp. nov.	1
{CONGO N. SP.}	sp. nov.	1
{KALUNGWISHI N. SP.}	sp. nov.	1
{L. KYOGO N. SP.}	sp. nov.	1
{MALAGARASI N. SP.}	sp. nov.	1
{MANGULA N. SP.}	sp. nov.	1
{MOTTLED N. SP. 2.}	sp. nov.	1
{NTUMBACHUSHI N. SP.}	sp. nov.	1
{RUIKI N. SP.}	sp. nov.	1
{RUVU N. SP.}	sp. nov.	1
{RUZIZI N. SP.}	sp. nov.	1
{UBANGI 1 N. SP.}	sp. nov.	1
{ZAKONI N. SP.}	sp. nov.	1
<SP. A>	sp.	1
<SP. B>	sp.	1
<SP. MEDIUM COSTATE>	sp.	1
1(1):15. W.D. DODD NO. 559.		1
14.5 IN. S.L.		1
155 M.M. S.L.		1
180MM S.L., (DRIED)		1
190 M.M. S.L.		1
1967		1
200 M.M. S.L.		1
212 M.M. S.L.		1
215 M.M. S.L.		1
220 M.M. S.L.		1
225 M.M. S.L.		1
234 M.M. S.L.		1
243 M.M. S.L.		1
250 M.M. S.L.		1
255 M.M. S.L.		1
258 M.M. S.L.		1
260 M.M. S.L.		1
262 M.M. S.L.		1
294 M.M. S.L.		1
300 M.M. S.L.		1
310MM S.L.,HEAD=78MM		1
315MM S.L.,HEAD=84MM		1
344 M.M. S.L.		1
370 M.M. S.L.		1
4 SAMA PARATYPES (NUMBERS UNKNOWN) MISSING		1
400 M.M. T.L.		1
435 M.M. S.L.		1
44.5 C.M. T.L.		1
451 M.M. S.L.		1
480 M.M. S.L.		1
490 M.M. T.L.		1
670 M.M. S.L.		1
740M.M.S.L.TIP OF TAIL AB		1
ABDOMEN SP. 1	sp.	1
ABDOMEN SP. 2	sp.	1
ACSMITHIA SP.	sp.	1
AEGYPTIACA X SP.	aegyptiaca X sp.	1
AFF MALDIVENSIS	aff. maldivensis	1
AFF SP	aff.	1
AFF.	aff.	1
AFF.  BOGOTENSIS	aff. bogotensi	1
AFF.  SAVAGEI	aff. savagei	1
AFF. AMETHYSTINA	aff. amethystina	1
AFF. AUREOPIGMENTATUS	aff. aureopigmentatus	1
AFF. BOGOTENSIS	aff. bogotensi	1
AFF. EMETICA	aff. emetica	1
AFF. HUMIDICOLA	aff. humidicola	1
AFF. LACCATA	aff. laccata	1
AFF. LENTIGINOSA	aff. lentiginosa	1
AFF. NERVOSA	aff. nervosa	1
AFF. OBSCURATUS	aff. obscuratus	1
AFF. OLIGOPORPA	aff. oligoporpa	1
AFF. OVATA	aff. ovata	1
AFF. PALMATA	aff. palmata	1
AFF. PANICULATA	aff. paniculata	1
AFF. RIPARIA	aff. riparia	1
AFF. SMILACINUS	aff. smilacinus	1
AFF. SORORCULA	aff. sororcula	1
AFF. SP. 3A	aff.	1
AFF. SP. A	aff.	1
AFF. SP. E	aff.	1
AFF. SP. OLIVER IN OLIVER ET AL. 1975	aff.	1
AFF. UISAE	aff. uisae	1
ALONG WITH B548 & B549 SYNTYPE OF SERICORNIS MACULATUS HOUTMANENSIS, ZIETZ, 1921, (SEE SAOA 6(2): 44-5). W.D. DODD NO. 119.		1
AMERICANA OR CRASSIDENS	species in question	1
ARGYROPLEURON SP. 1	sp.	1
ARGYROPLEURON SP. 2	sp.	1
ARVICOLINAE		1
ASH.SP.A	sp.	1
ASH.SP.B	sp.	1
ASH.SP.C	sp.	1
ASPER  N. GEN,	gen. nov.	1
AURICEPS LARGE BLACK TAILED SP.	sp.	1
B SP.	sp.	1
B1336 HOLOTYPE OF APROSMICTUS ERYTHROPTERUS MELVILLENSIS, ZIETZ, 1914 (SEE SAOA 1(1):14		1
B1365 TYPE SPECIMEN OF CHALCOPHAPS CHRYSOCHLORA MELVILLENSIS, ZIETZ, 1914 (SEE SAOA 1(1):12). W.D. DODD NO. 630.		1
B2237 HOLOTYPE OF PSEPHOTUS HAEMATONOTUS CAERULEUS, CONDON, 1941 (SEE RECORDS SAM 7:141)		1
B2303 TYPE OF CLIMACTERIS WAITEI,WHITE, 1917 (SEE EMU 16:168-9); B2304 PARATYPE OF CLIMACTERIS WAITEI, WHITE, 1917 (SEE EMU 16:168-9)		1
B4506 HOLOTYPE OF ZOSTEROPS WESTERNENSIS FLINDERSENSIS, ASHBY, 1925 (SEE EMU 25:117)		1
B547,  B548 & B549 SYNTYPE OF SERICORNIS MACULATUS HOUTMANENSIS, ZIETZ, 1921, (SEE SAOA 6(2): 44-5). W.D. DODD NO. 119.		1
B547, B548 & B549 SYNTYPE OF SERICORNIS MACULATUS HOUTMANENSIS, ZIETZ, 1921, (SEE SAOA 6(2): 44-5). W.D. DODD NO. 119.		1
B5669 HOLOTYPE OF CALAMANTHUS FULIGINOSUS SUTTONI, CONDON, 1951 (SEE SAOA 20:51)		1
B5673  HOLOTYPE OF CINCLOSOMA CASTANOTUSM MORGANI, CONDON, 1951 (SEE SAOA 20:42)		1
BAILEYI N. SP.	sp. nov.	1
BALANUSSP.	sp.	1
BALSODICHTHYS X SP.	balsodichthys X sp.	1
BELLENDENENSIS N.SP.	sp. nov.	1
BIG		1
BISACCATE SP. 1	sp.	1
BODY SP. 1 CF. ADEMOSYNE	sp.	1
BODY SP. 2	sp.	1
BODY SP. 3	sp.	1
BOTULUM N. SP.	sp. nov.	1
BOYCE 1989 SP. NOV. A.	sp. nov.	1
BROKEN		1
BRYANTI N. SP.	sp. nov.	1
BUFO SP.	sp.	1
C		1
C SP.1	sp.	1
C. SP. X G. NYCTHEMERUS	C. sp. X G. nycthemerus	1
C. SP. X P. COLCHICUS	C. sp. X P. colchicus	1
C.F. CANADENSIS	cf. canadensis	1
C.F. CHAETODIPUS	cf. Chaetodipus	1
C.F. CINEREA	cf. cinerea	1
C.F. MARMOTA FLAVIVENTRIS	cf. Marmota flaviventris	1
C.F. NEOTOMA	cf. Neotoma	1
C.F. OVIS C.F. CANADENSIS	cf. canadensis	1
C.F. SPILOGALE	cf. Spilogale	1
C.F. TIGRIS	cf. tigris	1
CACTORUM SP. NOV.	sp. nov.	1
CANDICHORUM (SP.?)	sp.	1
CF	cf.	1
CF ACHIRUS	cf. achirus	1
CF ACULEATUS	cf. aculeatus	1
CF AEQUIPINNIS	cf. aequipinnis	1
CF AFFINIS	cf. affinis	1
CF ALICIAE	cf. aliciae	1
CF ANTIPODIANUS	cf. antipodianus	1
CF ATRUM	cf. atrum	1
CF BARBATUS	cf. barbatus	1
CF BOLINICHTHYS	cf. Bolinichthys	1
CF BOUGAINVILLII	cf. bougainvillii	1
CF BOULENGERI	cf. boulengeri	1
CF BRACHYGNATHUM	cf. brachygnathum	1
CF CALCEA	cf. calcea	1
CF CHAETODIPUS	cf. Chaetodipus	1
CF CINEREA	cf. cinerea	1
CF CINEREOARGENTEUS	cf. cinereoargenteus	1
CF CLASS	cf.	1
CF CRIBRORIS	cf. cribroris	1
CF DUNCKERI	cf. dunckeri	1
CF EFFULGENS	cf. effulgens	1
CF FAM	cf.	1
CF FAM CF GEN	cf.	1
CF FAMILY	cf.	1
CF FILAMENTOSUS	cf. filamentosus	1
CF FLAVIVENTRIS	cf. flaviventris	1
CF FM	cf.	1
CF GEN	cf.	1
CF GEN + SP	cf.	1
CF GEN CF SP	cf.	1
CF GEN, ?SP	cf.	1
CF GEN+SP	cf.	1
CF GENUS	cf.	1
CF GENUS AND SPECIES	cf.	1
CF GN	cf.	1
CF GN CF SP	cf.	1
CF HELLWALDII	cf. hellwaldii	1
CF INDICUS	cf. indicus	1
CF INTIMA	cf. intima	1
CF LONGIMANUS	cf. longimanus	1
CF LUCIFER	cf. lucifer	1
CF LUETKENI	cf. luetkeni	1
CF MALAYANA	cf. malayana	1
CF MELBOURNENSIS	cf. melbournensis	1
CF MICROCEPHALUS	cf. microcephalus	1
CF NIGRESCENS	cf. nigrescens	1
CF OBLONGUS	cf. oblongus	1
CF OBTUSIROSTRE	cf. obtusirostre	1
CF OCCIDENTALIS	cf. occidentalis	1
CF OLIDUS	cf. olidus	1
CF ORDER	cf.	1
CF OTHER_ID	cf.	1
CF OTHERID	cf.	1
CF OVIS CANADENSIS	cf. Ovis canadensis	1
CF PAUCIMACULATUS	cf. paucimaculatus	1
CF PHILIPPINENSIS	cf. philippinensis	1
CF PONTOHI	cf. pontohi	1
CF QUADRISPINOSA	cf. quadrispinosa	1
CF RHABDOGNATHUS RARUS.	cf. Rhabdognathus rarus	1
CF RHOMBOIDEA	cf. rhomboidea	1
CF SCHEELEI	cf. scheelei	1
CF SP	cf.	1
CF SP CF GN	cf.	1
CF SP, ?GENUS, WORN	cf.	1
CF SP, VERY WORN	cf.	1
CF SP, WORN	cf.	1
CF SP.	cf.	1
CF SP. A	sp.	1
CF SP; ?GENUS	cf.	1
CF SPECIES	cf.	1
CF SPILOGALE	cf. Spilogale	1
CF SPINIFERA	cf. spinifera	1
CF STENODACTYLUM	cf. stenodactylum	1
CF SUBFAM	cf.	1
CF SUBORDER	cf.	1
CF SUBSP	cf.	1
CF SUBSPECIES	cf.	1
CF VAIGIENSIS	cf. vaigiensis	1
CF VIRIDIS	cf. viridis	1
CF, SO,	cf.	1
CF.	cf.	1
CF. A. NOBILIS	cf. A. nobilis	1
CF. ACUMINATA	cf. acuminata	1
CF. AETIOCETIDAE	cf. Aetiocetidae	1
CF. BUROLETTI	cf. buroletti	1
CF. C. OCCIDENTALIS	cf. C. occidentalis	1
CF. CARACASANUM	cf. caracasanum	1
CF. DIPLOSTEMONA	cf. diplostemona	1
CF. FAM.	cf.	1
CF. FAMILY	cf.	1
CF. FAMILY, CF. GENUS	cf.	1
CF. FAMILY, GE. CF.	cf.	1
CF. FAMILY, SUBFAMILY	cf.	1
CF. FRONDOSA	cf. frondosa	1
CF. G. MORINGA	cf. G. moringa	1
CF. GEN	cf.	1
CF. GEN.	cf.	1
CF. GENUS	cf.	1
CF. HYLOPHILUS	cf. hylophilus	1
CF. IRIDOLEPIS	cf. iridolepis	1
CF. LATRANS	cf. latrans	1
CF. MAJOR	cf. major	1
CF. MERIDENSIS	cf. meridensis	1
CF. MORETONENSIS (SP. B)	cf. moretonensis	1
CF. N. SP. F OF KLAPPER	sp.	1
CF. OBSCURIFOLIA	cf. obscurifolia	1
CF. ORDER	cf.	1
CF. OTHER_ID	cf.	1
CF. OTHERID	cf.	1
CF. PULCHRA	cf. pulchra	1
CF. SP	sp.	1
CF. SP, SPP	sp.	1
CF. SP.	sp.	1
CF. SP. 1	sp.	1
CF. SP. 2	sp.	1
CF. SP. 3	sp.	1
CF. SP. A	sp.	1
CF. SP. A GORDON & YOCHELSON 1987	sp.	1
CF. SP. B	sp.	1
CF. SP. G2	sp.	1
CF. SP. II	sp.	1
CF. SP. NOV.	sp.	1
CF. SP., ?SP.	sp.	1
CF. SP.; WORN	sp.	1
CF. SPECIES	sp.	1
CF. SPIRALIS	cf. spiralis	1
CF. SUBFAMILY	cf.	1
CF. UMBRATUS	cf. umbratus	1
CF.GN	cf.	1
CF.GN SP	cf.	1
CF.SP	sp.	1
CFSP	sp.	1
CHIASMOCLEIS SP.	sp.	1
CHRYSOCEPHALA S	sp.	1
CHRYSOCEPHALUS X SP.	chrysocephalus X sp.	1
CL ?	class in question	1
CL ? ;OR ?	class, order question in order	1
CL CF	class in question	1
CL?	class in question	1
CLASS ?	class in question	1
CLASS CF	cf.	1
CLAVUS SP. 1	sp.	1
CLAVUS SP. 2	sp.	1
CLAVUS SP. 3	sp.	1
CLAVUS SP. 4	sp.	1
CLAVUS SP. 5	sp.	1
COLCHICUS MONGOLICUS X COLCHICUS SSP.	colchicus mongolicus X colchicus ssp.	1
COLOBRI AFF. THALASSINUS	aff. thalassinus	1
CRASSUM SP. NOV	sp. nov.	1
CRYPTODIRA		1
CURIOSUS SP. NO	sp. nov.	1
CYANELLUS X L. SP.	cyanellus x L. sp.	1
CYANELLUS X SP.	cyanellus X sp.	1
DARWINI N.SP.	sp. nov.	1
DFH  SP. 18	sp.	1
DFH  SP. 34	sp.	1
DFH  SP. 36	sp.	1
DFH N.SP.	sp.	1
DFH SP. 12	sp.	1
DFH SP. 36	sp.	1
DFH SP.16	sp.	1
DFH SP.17	sp.	1
DFH SP.4	sp.	1
DFH SP.6	sp.	1
DFH SP.8	sp.	1
DFH SP.9	sp.	1
DIV. 1 SP.	sp.	1
DR GLENN SHEA - AUSTRALIAN MUSEUM		1
DR PAUL OLIVER - MUSEUM VICTORIA		1
EGREGIA OR SP. NOV.	sp.	1
ELYTRA SP. 1	sp.	1
ELYTRA SP. 2	sp.	1
ELYTRA SP. 3	sp.	1
ELYTRA SP. 4	sp.	1
ELYTRA SP. 5	sp.	1
ELYTRA SP. 6	sp.	1
ELYTRA SP. 7	sp.	1
EMYDIDC		1
ERINACEOIDEA		1
ERYOPS ALSO		1
EURYODUS ALSO		1
EX. GR.	ex. gr.	1
FA ?	family in question	1
FA ? ;GE ?	family, genus in question	1
FA ? ;GE ? ;SP ?	family, genus, species in question	1
FA ? ;GE CF	family in question	1
FA ? ;OI ?	family in question	1
FA ? ;SP CF	family in question	1
FA CF	cf.	1
FA CF;GE ?	genus in question	1
FAM ?	family in question	1
FAM. ?	family in question	1
FEMALE, 505M.M. S.L.		1
FEMALE?		1
FEWER RIDGES SP.	sp.	1
FL=80M.M.		1
FM ?	family in question	1
FM CF	cf.	1
FM GN ?	family, genus in question	1
FM?	family in question	1
FUSCA N. SP.	sp. nov.	1
G J. WITTEN		1
GALBULA SSP. BULLOCKII	ssp.	1
GARDINERI N.SP.	sp. nov.	1
GE ?	genus in question	1
GE ? ;OI ?	genus in question	1
GE ? ;SP ?	genus, species in question	1
GE ? ;SP CF	genus, species in question	1
GE ? OR DESMOSTYLUS?	genus in question	1
GE CF	cf.	1
GE CF.	cf.	1
GE CF;SP ?	cf.	1
GE CF;SP CF	cf.	1
GE NR	cf.	1
GE. CF.	cf.	1
GE. CF. SP. CF.	cf.	1
GE?	genus in question	1
GEN	genus in question	1
GEN AND SP. INDET. A	gen. indet.	1
GEN AND SP. INDET. B	gen. indet.	1
GEN CF.	cf.	1
GEN IN QUOTES	genus in question	1
GEN INDET	gen. indet.	1
GEN NR	genus in question	1
GEN. ?	genus in question	1
GEN. A SP. A	gen. indet.	1
GEN. A, SP. 1	gen. indet.	1
GEN. A, SP. A	gen. indet.	1
GEN. AND SP. INDET.	gen. indet.	1
GEN. AND SP. INDET. 2	gen. indet.	1
GEN. AND SP. INDET. A	gen. indet.	1
GEN. AND SP. INDET. C	gen. indet.	1
GEN. B, SP. A	gen. indet.	1
GEN. B. SP. 1	gen. indet.	1
GEN. C, SP. A	gen. indet.	1
GEN. D SP. 1	gen. indet.	1
GEN. D SP. 2	gen. indet.	1
GEN. D SP. 3	gen. indet.	1
GEN. D SP. 4	gen. indet.	1
GEN. D, SP. A	gen. indet.	1
GEN. ET SP. 1	gen. indet.	1
GEN. ET SP. 1 NOV.	gen. nov.	1
GEN. ET SP. 2	gen. indet.	1
GEN. ET SP. 3	gen. indet.	1
GEN. ET SP. 3 NOV.	gen. indet.	1
GEN. ET SP. A	gen. indet.	1
GEN. ET SP. B	gen. indet.	1
GEN. ET SP. IND. 2	gen. indet.	1
GEN. ET SP. INDET	gen. indet.	1
GEN. ET SP. INDET A	gen. indet.	1
GEN. ET SP. INDET B	gen. indet.	1
GEN. ET SP. INDET.	gen. indet.	1
GEN. ET SP. INDET. 1	gen. indet.	1
GEN. ET SP. INDET. 2	gen. indet.	1
GEN. ET SP. INDET. 3	gen. indet.	1
GEN. ET SP. INDET. 4	gen. indet.	1
GEN. ET SP. INDET. A	gen. indet.	1
GEN. ET SP. INDET. B	gen. indet.	1
GEN. ET SP. INDET. C	gen. indet.	1
GEN. ET SP. INDET. D	gen. indet.	1
GEN. ET SP. INDET. E	gen. indet.	1
GEN. ET SP. INDET. F	gen. indet.	1
GEN. ET SP. INDET. G	gen. indet.	1
GEN. ET SP. INDET. H	gen. indet.	1
GEN. ET SP. INDET. I	gen. indet.	1
GEN. ET SP. INDET. II	gen. indet.	1
GEN. ET SP. INDET. J	gen. indet.	1
GEN. ET SP. INDET. K	gen. indet.	1
GEN. ET SP. INDET. L	gen. indet.	1
GEN. ET SP. N. A	gen. nov.	1
GEN. ET SP. NOV.	gen. nov.	1
GEN. ET SP. NOV. 1	gen. nov.	1
GEN. ET SP. NOV. 2	gen. nov.	1
GEN. ET SP. NOV. 3	gen. nov.	1
GEN. ET SP. NOV. 5	gen. nov.	1
GEN. ET SP. NOV. 6	gen. nov.	1
GEN. ET SP. NOV. 7	gen. nov.	1
GEN. ET SP. NOV. 8	gen. nov.	1
GEN. ET SP. NOV. 9	gen. nov.	1
GEN. ET SP. NOV. A	gen. nov.	1
GEN. ET SP. NOV. A (LARGE)	gen. nov.	1
GEN. ET SP. NOV. B	gen. nov.	1
GEN. ET SP. NOV. B (SMALL)	gen. nov.	1
GEN. ET SP.IND.4	gen. indet.	1
GEN. ET. SP. 1	gen. indet.	1
GEN. ET. SP. 2	gen. indet.	1
GEN. ET. SP. IND.	gen. indet.	1
GEN. ET. SP. IND. 1	gen. indet.	1
GEN. ET. SP. IND. 2	gen. indet.	1
GEN. ET. SP. IND. 3	gen. indet.	1
GEN. ET. SP. INDET	gen. indet.	1
GEN. ET. SP. INDET.	gen. indet.	1
GEN. INDET. SP. A	gen. indet.	1
GEN. INDET. SP. B	gen. indet.	1
GEN. INDET. SP. C	gen. indet.	1
GEN. INDET. SP. D	gen. indet.	1
GEN. INDET. SP. E	gen. indet.	1
GEN. INDET. SP. F	gen. indet.	1
GEN. INDET. SP. G	gen. indet.	1
GEN. INDET. SP. H	gen. indet.	1
GEN. NOV. & SP. NOV.	gen. nov.	1
GEN. NOV. & SP. NOV. A	gen. nov.	1
GEN. NOV. & SP. NOV. B	gen. nov.	1
GEN. NOV. A, SP. NOV. A A	gen. nov.	1
GEN. NOV. A, SP. NOV. A B	gen. nov.	1
GEN. NOV. SP. LARGE	gen. nov.	1
GEN. NOV. SP. SMALL	gen. nov.	1
GEN?	genus in question	1
GENUS ?	genus in question	1
GENUS 1 SP. A	gen. indet.	1
GENUS 2 SP. A	gen. indet.	1
GENUS AND SPECIES UNCERTAIN, FAMILY IDENTIFIED	gen. indet.	1
GENUS AND SPECIES UNKNOWN, FAMILY IDENTIFIED	gen. indet.	1
GENUS IDENTIFIED, SPECIES UNCERTAIN	species in question	1
GENUS IDENTIFIED, SPECIES UNKNOWN	sp.	1
GENUS IN QUESTION	genus in question	1
GENUS IN QUESTION, SPECIES IN QUESTION	genus in question, species in question	1
GENUS IN QUOTES	genus in question	1
GENUS IN QUOTES AND ?	genus in question	1
GENUS IN QUOTES, CF GEN	genus in question	1
GENUS IN QUOTES, CF SP	genus in question	1
GENUS IN QUOTES. ? SP	genus in question, species in question	1
GENUS INDET A SP. A	gen. indet.	1
GENUS INDET B SP. A	gen. indet.	1
GENUS QUESTIONED	genus in question	1
GENUS UNCERTAIN, SPECIES UNKNOWN, FAMILY IDENTIFIED	genus in question	1
GENUS, ?SP	genus in question, species in question	1
GENUS, SPECIES AND FAMILY UNCERTAIN	genus in question	1
GIANT SP.	sp.	1
GN ?	genus in question	1
GN ? SP ?	genus in question, species in question	1
GN CF	cf.	1
GN CF SG CF	cf.	1
GN CF SP CF	cf.	1
GN?	genus in question	1
GRANDMARIAE N. SP.	sp. nov.	1
GRAY, 1842		1
GS ?	genus in question	1
GS CF	cf.	1
GULOSUS X SP.	gulosus X sp.	1
HAEMATODUS X EOS SP.	haematodus x Eos sp.	1
HEAD SP. 1	sp.	1
HEAD SP. 2	sp.	1
HIND WING SP. 1	sp.	1
HOLOTYPE LARGER OF 2 SPECIMENS IN JAR		1
HOLOTYPE OF APROSMICTUS ERYTHROPTERUS MELVILLENSIS, ZIETZ, 1914 (SEE SAOA 1(1):14		1
HOLOTYPE OF ASTUR CLARUS ROBUSTUS, ZIETZ, 1914; GREY PHASE, SEE SAOA 1(1):13. W.D. DODD NO. 574.		1
HOLOTYPE OF CHRYSOCOCCYX MINUTILLUS MELVILLENSIS, ZIETZ, 1914 (SEE SAOA 1(1):14. W.D. DODD NO. 666).		1
HOLOTYPE SAMA?? 300MM		1
HYLA SP.	sp.	1
I NOV. GEN. NOV. SP. (GINSBURG 1964)	gen. nov.	1
I. SP. B	sp.	1
ICHNOSP. A	sp.	1
IDENTIFIED		1
INCERTAE SEDIS	incertae sedis	1
INCERTAE SEDIS SP. 1	sp.	1
INCERTAE SEDIS SP. 2	sp.	1
INDET SP.	sp.	1
INDET. NOV. GEN. ET SP.	gen. nov.	1
INDET. SP.	sp.	1
INDET. SP. 1	sp.	1
INDET. SP. 10	sp.	1
INDET. SP. 11	sp.	1
INDET. SP. 12	sp.	1
INDET. SP. 13	sp.	1
INDET. SP. 14	sp.	1
INDET. SP. 15	sp.	1
INDET. SP. 16	sp.	1
INDET. SP. 17	sp.	1
INDET. SP. 18	sp.	1
INDET. SP. 19	sp.	1
INDET. SP. 2	sp.	1
INDET. SP. 20	sp.	1
INDET. SP. 21	sp.	1
INDET. SP. 22	sp.	1
INDET. SP. 23	sp.	1
INDET. SP. 3	sp.	1
INDET. SP. 4	sp.	1
INDET. SP. 5	sp.	1
INDET. SP. 6	sp.	1
INDET. SP. 7	sp.	1
INDET. SP. 8	sp.	1
INDET. SP. 9	sp.	1
INDET. SP. A	sp.	1
INDET. SP. B	sp.	1
INDET. SP. NOV.	sp. nov.	1
INDET. SP. OTHERS	sp.	1
INDET. SP. X	sp.	1
INDET. SP. Y	sp.	1
INDET. SP.1	sp.	1
INDET. SP.2	sp.	1
INDET. SP.3	sp.	1
INFORMAL	informal	1
INORNATUS X SP. UNIPARENS	inornatus x sp.	1
ISOLEPIS SP.1	sp.	1
ISOLEPIS SP.2	sp.	1
ISP.	sp.	1
JANITOR N. SP.	sp. nov.	1
JASONI N. SP.	sp. nov.	1
JUV. NOV. SP.	sp. nov.	1
JUVENILE		1
JUVENILE?		1
KOBELTI N. SP.	sp. nov.	1
L=170M.M.		1
LARGE		1
LARGE CORALLA SP.	sp.	1
LARGE SMOOTH SP.	sp.	1
LARGE SP.	sp.	1
LARVA SP.	sp.	1
LARVA SP. 1	sp.	1
LARVA SP. 2	sp.	1
LARVA SP. 3	sp.	1
LARVA SP. 4	sp.	1
LARVA SP. 5	sp.	1
LARVAE SP. 7	sp.	1
LARVAE SP. 8	sp.	1
LEPOSTERNON SP.	sp.	1
LEUCIODUS X SP.	leuciodus X sp.	1
LEVINAE N. SP.	sp. nov.	1
LJH MAGNOLIA SP.1	sp.	1
LJH MAGNOLIA SP.2	sp.	1
LJH N.SP.IIIA	sp.	1
LJH N.SP.IV	sp.	1
LJH N.SP.IVA	sp.	1
LJH N.SP.VII	sp.	1
LJH N.SP.X	sp.	1
LJH N.SP.XIV	sp.	1
LJH N.SP.XIX	sp.	1
LJH N.SP.XV	sp.	1
LJH N.SP.XVII	sp.	1
LJH N.SP.XVIII	sp.	1
LJH N.SP.XX	sp.	1
LJH N.SP.XXI	sp.	1
LJH N.SP.XXIX	sp.	1
LJH N.SP.XXX	sp.	1
LJH N.SP.XXXI	sp.	1
LOBATE SP.	sp.	1
LOBATUM N. SP.	sp. nov.	1
